Note: Window features are placed at the end of the addresses for that window [Final column for the day].

Address,Year,Day,Amount Sent,Income,Neighbours,CoAddresses,Is Randsome
0 in 2009,2009,341,0,0.0,2,0,true
0 in 2009,2009,341,0,0.0,2,0,true
0 in 2009,2009,341,0,0.0,2,0,true
1DNML6RyHdsqRS7te5SpCkMGoYEkVJU6wD,2009,341,100000000000,1.0E11,1,0,true
0 in 2009,2009,341,0,0.0,2,0,true
0 in 2009,2009,341,0,0.0,2,0,true
~~~~ Features of the above window ~~~~
,2009,341,,,,,,Total transactions in window: 22,Ransome addresses in window: 21,White addresses in window: 0

1JTibmhdVg14T3xq7jcNeHecQrKpa52pFG,2009,342,100000000,5.0E9,1,0,true
0 in 2009,2009,342,0,0.0,2,0,true
0 in 2009,2009,342,0,0.0,2,0,true
0 in 2009,2009,342,0,0.0,2,0,true
NoName,2009,342,4700000000,4.8E9,1,0,true
0 in 2009,2009,342,0,0.0,2,0,true
1M3aHxpG6dD1qVojvfHUvTczoDXoJNN2c2,2009,342,100000000,4.8E9,1,0,true
0 in 2009,2009,342,0,0.0,2,0,true
0 in 2009,2009,342,0,0.0,2,0,true
0 in 2009,2009,342,0,0.0,2,0,true
0 in 2009,2009,342,0,0.0,2,0,true
0 in 2009,2009,342,0,0.0,2,0,true
0 in 2009,2009,342,0,0.0,2,0,true
0 in 2009,2009,342,0,0.0,2,0,true
NoName,2009,342,4900000000,5.0E9,1,0,true
NoName,2009,342,4800000000,4.9E9,1,0,true
15J5MZxBkbo88hfHbY96UEDdWWtTJKTBgj,2009,342,190000000000,1.9E11,1,0,true
0 in 2009,2009,342,0,0.0,2,0,true
0 in 2009,2009,342,0,0.0,2,0,true
1HCjQQywBWmuv11prAD1zQCzRto7WKqGiC,2009,342,100000000,4.9E9,1,0,true
0 in 2009,2009,342,0,0.0,2,0,true
0 in 2009,2009,342,0,0.0,2,0,true
0 in 2009,2009,342,0,0.0,2,0,true
0 in 2009,2009,342,0,0.0,2,0,true
0 in 2009,2009,342,0,0.0,2,0,true
1 in 2009,2009,342,0,0.0,3,0,true
1DNML6RyHdsqRS7te5SpCkMGoYEkVJU6wD,2009,342,50000000000,5.0E10,1,0,true
1 in 2009,2009,342,0,0.0,2,0,true
0 in 2009,2009,342,0,0.0,2,0,true
0 in 2009,2009,342,0,0.0,2,0,true
0 in 2009,2009,342,0,0.0,2,0,true
NoName,2009,342,100000000,1.0E8,1,0,true
~~~~ Features of the above window ~~~~
,2009,342,,,,,,Total transactions in window: 32,Ransome addresses in window: 32,White addresses in window: 0

18cC5QHshQbphDCTsriQYXyhjFea1TK6P4,2009,343,1000000000,5.0E9,1,0,true
NoName,2009,343,18700000000,1.87E10,1,0,true
NoName,2009,343,900000000,1.0E9,1,0,true
0 in 2009,2009,343,0,0.0,2,0,true
0 in 2009,2009,343,0,0.0,2,0,true
0 in 2009,2009,343,0,0.0,2,0,true
NoName,2009,343,100000000,1.0E8,1,0,true
NoName,2009,343,3700000000,4.7E9,1,0,true
1JTibmhdVg14T3xq7jcNeHecQrKpa52pFG,2009,343,100000000,1.0E9,1,0,true
1 in 2009,2009,343,0,0.0,3,0,true
NoName,2009,343,100000000,1.0E8,1,0,true
0 in 2009,2009,343,0,0.0,2,0,true
0 in 2009,2009,343,0,0.0,2,0,true
1 in 2009,2009,343,0,0.0,2,0,true
0 in 2009,2009,343,0,0.0,2,0,true
1HCjQQywBWmuv11prAD1zQCzRto7WKqGiC,2009,343,1000000000,4.7E9,1,0,true
NoName,2009,343,4000000000,5.0E9,1,0,true
0 in 2009,2009,343,0,0.0,2,0,true
NoName,2009,343,100000000,1.0E8,1,0,true
0 in 2009,2009,343,0,0.0,2,0,true
1PJJygLB42VsaTgo2twFPgRT8CNz1bpGNE,2009,343,1000000000,1.0E9,1,0,true
~~~~ Features of the above window ~~~~
,2009,343,,,,,,Total transactions in window: 22,Ransome addresses in window: 21,White addresses in window: 0

0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
1DNML6RyHdsqRS7te5SpCkMGoYEkVJU6wD,2009,345,300000000000,3.0E11,1,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
1DNML6RyHdsqRS7te5SpCkMGoYEkVJU6wD,2009,345,220000000000,2.2E11,1,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
0 in 2009,2009,345,0,0.0,2,0,true
~~~~ Features of the above window ~~~~
,2009,345,,,,,,Total transactions in window: 71,Ransome addresses in window: 69,White addresses in window: 0

0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
1Ph1WL8gHPW1VShh55yJpRQE57wth6zSBm,2009,347,1595435000000,1.595435E12,1,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
